Life is Strange: True Colors,2021,Deck Nine,Google Stadia / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S,free,Alex Chen
Golf Club: Wasteland,2021,Demagog Studios,Nintendo Switch / PC (Microsoft Windows) / PlayStation 4 / Xbox One,free,-
Road 96,2021,DigixArt,Nintendo Switch / PC (Microsoft Windows),free,-
Psychonauts 2,2021,Double Fine Productions,Xbox One / PlayStation 4 / PC (Microsoft Windows) / Xbox Series X|S,free,Razputin/ Ford Cruller/ Sasha Nein
Kena: Bridge of Spirits,2021,Ember Lab,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5,free,-
Loop Hero,2021,Four Quarters,Nintendo Switch / PC (Microsoft Windows) / Mac / Linux,free,-
Maquette,2021,Graceful Decay,PC (Microsoft Windows) / PlayStation 4 / PlayStation 5,free,-
No More Heroes III,2021,Grasshopper Manufacture,Nintendo Switch / PC (Microsoft Windows),free,Travis Touchdown
It Takes Two,2021,Hazelight Studios,Xbox One / PC (Microsoft Windows) / PlayStation 4 / PlayStation 5 / Xbox Series X|S,free,Cody/ May
Returnal,2021,Housemarque,PlayStation 5,free,Selene 
Overboard!,2021,inkle,PC (Microsoft Windows) / Mac / iOS / Nintendo Switch,free,Veronica Villensey
Ratchet & Clank: Rift Apart,2021,Insomniac Games,PlayStation 5,free,-
HITMAN 3,2021,IO Interactive,Xbox One / Google Stadia / PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / PlayStation 4,free,-
Valheim,2021,Iron Gate AB,Linux / PC (Microsoft Windows),free,-
Totally Accurate Battle Simulator,2021,Landfall Games,Mac / Xbox One / PC (Microsoft Windows),free,-
Cyber Shadow,2021,Mechanical Head Studios,Xbox One / PlayStation 5 / Nintendo Switch / PlayStation 4 / PC (Microsoft Windows),free,-
Metroid Dread,2021,MercurySteam,Nintendo Switch,free,Samus Aran
Hot Wheels Unleashed,2021,Milestone,Xbox One / PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Nintendo Switch,free,-
The Forgotten City,2021,Modern Storyteller,PlayStation 5 / Xbox One / PC (Microsoft Windows) / Nintendo Switch / PlayStation 4 / Xbox Series X|S,free,-
Lust from Beyond,2021,Movie Games Lunarium,PC (Microsoft Windows),free,-
The Ascent,2021,Neon Giant,Xbox Series X|S / Xbox One / PC (Microsoft Windows),free,-
The Binding of Isaac: Repentance,2021,Nicalis Inc.,Mac / PlayStation 5 / Nintendo Switch / Xbox Series X|S / PC (Microsoft Windows) / Linux,free,Bethany
Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch,free,-
Super Mario 3D World + Bowser's Fury,2021,Nintendo EAD Tokyo,Nintendo Switch,free,-
WarioWare: Get It Together!,2021,Nintendo EPD,Nintendo Switch,free,-
Curse of the Dead Gods,2021,Passtech Games,Xbox One / PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch,free,Caradog McCallister
Outriders,2021,People Can Fly,Xbox One / PlayStation 4 / PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / Google Stadia,free,-
Eastward,2021,Pixpil Studio,Nintendo Switch / Mac / PC (Microsoft Windows),free,John/ Sam
Forza Horizon 5,2021,Playground Games,Xbox Series X|S / PC (Microsoft Windows) / Xbox One,free,-
Portal Reloaded,2021,PORTANIS,PC (Microsoft Windows),free,-
Age of Empires IV,2021,Relic Entertainment,PC (Microsoft Windows),free,-
Alan Wake Remastered,2021,Remedy Entertainment,PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows),free,-
Call of Duty: Vanguard,2021,Sledgehammer Games,Xbox Series X|S / Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5,free,-
Skul: The Hero Slayer,2021,SouthPaw Games,PlayStation 4 / Xbox One / PC (Microsoft Windows) / Mac / Linux / Nintendo Switch,free,-
NEO: The World Ends with You,2021,Square Enix,PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch,free,Rindo Kanade/ Nagi Usui/ Sho Minamimoto
Narita Boy,2021,Studio Koba,PC (Microsoft Windows) / Linux / Nintendo Switch / Mac / PlayStation 4 / Xbox One,free,Lionel Pearl
The Dark Pictures Anthology: House of Ashes,2021,Supermassive Games,PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One,free,Rachel King/ Salim Othman/ Jason Kolchek
Little Nightmares II,2021,Tarsier Studios,PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / Google Stadia / Xbox One / PlayStation 4 / Nintendo Switch,free,-
Bravely Default II,2021,Team Asano,PC (Microsoft Windows) / Nintendo Switch,free,Seth/ Gloria/ Elvis
Pokémon Unite,2021,Tencent Games,Android / iOS / Nintendo Switch,free,-
NieR Replicant ver.1.22474487139...,2021,Toylogic,PlayStation 4 / PC (Microsoft Windows) / Xbox One,free,Kainé
Back 4 Blood,2021,Turtle Rock Studios,Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One / PC (Microsoft Windows),free,Evangelo/ Mom/ Holly
Scott Pilgrim vs. the World: The Game - Complete Edition,2021,Ubisoft Chengdu,PlayStation 4 / Xbox One / PlayStation 5 / Amazon Fire TV / Google Stadia / PC (Microsoft Windows) / Nintendo Switch / Xbox Series X|S,free,-
Far Cry 6,2021,Ubisoft Toronto,Google Stadia / PlayStation 4 / PlayStation 5 / Xbox Series X|S / Xbox One / PC (Microsoft Windows),free,Dani Rojas
Rain on Your Parade,2021,Unbound Creations LLC,Xbox One / Nintendo Switch / Mac / Linux / PC (Microsoft Windows) / Xbox Series X|S,free,-
Last Stop,2021,Variable State,PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch / Xbox One / PlayStation 5 / Xbox Series X|S,free,-
Knockout City,2021,Velan Studios,PlayStation 4 / PC (Microsoft Windows) / Xbox One / PlayStation 5 / Xbox Series X|S / Nintendo Switch,free,-
Serin Fate,2021,Vethergen,PC (Microsoft Windows),free,-
Unpacking,2021,Witch Beam,Nintendo Switch / Linux / Mac / PC (Microsoft Windows) / Xbox One,free,-
Strangeland,2021,Wormwood Studios,Mac / PC (Microsoft Windows),free,-
Dyson Sphere Program,2021,Youthcat Studio,PC (Microsoft Windows),free,-
Disco Elysium: The Final Cut,2021,ZA/UM,PC (Microsoft Windows) / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S / PlayStation 4 / Mac / Google Stadia,free,Harrier Du Bois
Wetrix,1998,Zed Two,PC (Microsoft Windows) / Nintendo 64 / Game Boy Color,free,-
Ogre Battle 64: Person of Lordly Caliber,1999,Quest,Wii / Nintendo 64 / Wii U,free,Magnus Gallant
The Legend of Zelda: Ocarina of Time,1998,Nintendo EAD,Wii U / Nintendo 64 / Wii,free,-
Super Mario 64,1996,Nintendo EAD,Wii / Nintendo 64 / Wii U,free,-
Perfect Dark,2000,Rare,Nintendo 64,free,Joanna Dark
The Legend of Zelda: Ocarina of Time - Master Quest,2003,Nintendo EAD Tokyo,Nintendo GameCube / Nintendo 64,free,-
Harvest Moon 64,1999,Toy Box Studios,Wii U / Nintendo 64,free,-
The Legend of Zelda: Majora's Mask,2000,Nintendo EAD,Wii U / Wii / Nintendo 64,free,-
Banjo-Tooie,2000,Rare,Nintendo 64 / Xbox 360,free,-
Paper Mario,2000,Intelligent Systems Co. Ltd.,Wii U / Wii / Nintendo 64,free,Mumbo
StarCraft 64,2000,Mass Media Inc,Nintendo 64,free,-
GoldenEye 007,1997,Westwood Studios,Nintendo 64,free,-
Star Fox 64,1997,Nintendo EAD,Nintendo 64 / Wii / Wii U,free,Fox McCloud/Peppy Hare/Falco Lombardi
Banjo-Kazooie,1998,Rare,Xbox 360 / Nintendo 64,free,-
Tony Hawk's Pro Skater 2,2000,Neversoft Entertainment,Dreamcast / Game Boy Advance / Xbox / Game Boy Color / PlayStation / PC (Microsoft Windows) / Mac / Nintendo 64 / iOS,free,-
Resident Evil 2,1998,Capcom,Nintendo GameCube / PlayStation 3 / Dreamcast / PlayStation / PC (Microsoft Windows) / Nintendo 64,free,-
Wipeout 64,1998,Psygnosis,Nintendo 64,free,-
Tony Hawk's Pro Skater,1999,Neversoft Entertainment,N-Gage / Game Boy Color / Dreamcast / Nintendo 64 / PlayStation,free,-
Quake II,1997,id Software,Zeebo / PC (Microsoft Windows) / Nintendo 64 / PlayStation,free,-
Tetrisphere,1997,H2O Entertainment,Nintendo 64,free,-
Snowboard Kids 2,1999,Racdym,Nintendo 64,free,-
Mario Kart 64,1996,Nintendo,Nintendo 64 / Wii / Wii U,free,-
Mystical Ninja Starring Goemon,1997,Konami,Nintendo 64,free,-
