Lunar: Silver Star Story Complete,1996,Japan Art Media,Sega Saturn / PlayStation / PC (Microsoft Windows) / iOS
In the Hunt,1993,Irem Corporation,Sega Saturn / PlayStation / PC (Microsoft Windows) / Arcade
Destruction Derby,1995,Looking Glass Studios,PlayStation / Sega Saturn / PC DOS
NHL 98,1997,EA Canada,Sega Mega Drive/Genesis / PlayStation / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / Sega Saturn
Strikers 1945,1995,Psikyo,PlayStation / Arcade / Sega Saturn / Nintendo Switch / PC (Microsoft Windows)
Soviet Strike,1996,Electronic Arts,PlayStation / PlayStation 3 / PlayStation Portable / Sega Saturn
Dark Seed,1992,Cyberdreams,Amiga / PC DOS / PlayStation / Sega Saturn / PC (Microsoft Windows) / Mac
Marvel Super Heroes vs. Street Fighter,1997,Capcom,PlayStation / Arcade / Sega Saturn
Space Invaders,1978,Taito,Legacy Cellphone / Arcade / Nintendo Entertainment System (NES) / Sega Saturn / Atari 5200 / SG-1000 / iOS / Atari 2600 / WonderSwan / Game Boy
Magical Drop II,1996,Data East,Wii / Arcade / Neo Geo AES / Sega Saturn / Super Famicom / Neo Geo CD
QuackShot: Starring Donald Duck,1991,Sega,Sega Mega Drive/Genesis / Sega Saturn
Darkstalkers 3,1997,Capcom,PlayStation 3 / PlayStation / Arcade / Sega Saturn
SimCity 2000,1993,Maxis,PC (Microsoft Windows) / Super Famicom / PC DOS / PlayStation / Mac / Nintendo 64 / Super Nintendo Entertainment System (SNES) / Amiga / Sega Saturn
Ultimate Mortal Kombat 3,1995,Midway,Arcade / Sega Saturn / Super Nintendo Entertainment System (SNES) / Xbox 360 / Sega Mega Drive/Genesis / Nintendo DS / Game Boy Advance
X-Men vs. Street Fighter,1996,Capcom,PlayStation / Arcade / Sega Saturn
Mega Man X3,1995,Capcom,PC (Microsoft Windows) / Super Famicom / Super Nintendo Entertainment System (SNES) / New Nintendo 3DS / Wii U / PlayStation / Sega Saturn / Legacy Cellphone
Worms,1995,Team17,Sega Saturn / PlayStation / Mac / Amiga / Amiga CD32 / PC DOS / Sega Mega Drive/Genesis / PlayStation 3 / PlayStation Portable / Xbox 360 / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / Atari Jaguar
Grandia,1997,"Game Arts Co., Ltd.",Sega Saturn / PlayStation / PlayStation 3
Resident Evil,1996,Capcom,Sega Saturn / PlayStation 3 / PlayStation / PC (Microsoft Windows)
Crusader: No Remorse,1995,Realtime Associates,Sega Saturn / PC (Microsoft Windows) / PlayStation / PC DOS / Mac
Pandemonium!,1996,Toys for Bob,iOS / PC (Microsoft Windows) / Sega Saturn / PlayStation 3 / N-Gage / PlayStation / PlayStation Portable / Legacy Cellphone
Myst,1993,Cyan Worlds,iOS / Mac / Nintendo DS / PC (Microsoft Windows) / 3DO Interactive Multiplayer / Atari Jaguar / PlayStation Portable / PlayStation / Sega Saturn / Nintendo 3DS
Mortal Kombat II,1993,Midway,Game Boy / PC DOS / Sega Master System / Sega Saturn / Super Nintendo Entertainment System (SNES) / Sega Mega Drive/Genesis / Sega 32X / Arcade / PlayStation 3 / PlayStation / Amiga
Galaxy Force II,1988,Sega AM2,Atari ST/STE / ZX Spectrum / Wii / Amstrad CPC / Sega Master System / Arcade / Sega Saturn / Commodore C64/128 / PlayStation 2 / Sega Mega Drive/Genesis / FM Towns / Amiga
The Lost World: Jurassic Park,1997,Dreamworks Interactive,Sega Saturn / PlayStation
Earthworm Jim 2,1995,Shiny Entertainment,Sega Mega Drive/Genesis / Wii / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / PlayStation / Sega Saturn / Game Boy Advance
Tempest 2000,1994,llamasoft,Atari Jaguar / PC DOS / Sega Saturn / Mac / PC (Microsoft Windows)
Street Fighter Alpha 2,1996,Capcom,Sega Saturn / Super Nintendo Entertainment System (SNES) / Nintendo 3DS / Arcade / PlayStation / PC (Microsoft Windows) / Wii / Wii U
