The Binding of Isaac: Repentance,2020,"Nicalis, Inc.",Mac / PlayStation 5 / Nintendo Switch / Xbox Series X|S / PC (Microsoft Windows) / Linux
Super Mario 3D World + Bowser's Fury,2020,Nintendo EAD Tokyo,Nintendo Switch
Bowser's Fury,2020,Nintendo EAD Tokyo,Nintendo Switch
WarioWare: Get It Together!,2020,Nintendo EPD,Nintendo Switch
Curse of the Dead Gods,2020,Passtech Games,Xbox One / PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch
Outriders,2020,People Can Fly,Xbox One / PlayStation 4 / PlayStation 5 / PC (Microsoft Windows) / Xbox Series X|S / Google Stadia
Eastward,2020,Pixpil Studio,Nintendo Switch / Mac / PC (Microsoft Windows)
Forza Horizon 5,2020,Playground Games,Xbox Series X|S / PC (Microsoft Windows) / Xbox One
Portal Reloaded,2020,PORTANIS,PC (Microsoft Windows)
Age of Empires IV,2020,Relic Entertainment,PC (Microsoft Windows)
Alan Wake Remastered,2020,Remedy Entertainment,PlayStation 4 / PlayStation 5 / Xbox One / Xbox Series X|S / PC (Microsoft Windows)
Call of Duty: Vanguard,2020,Sledgehammer Games,Xbox Series X|S / Xbox One / PlayStation 4 / PC (Microsoft Windows) / PlayStation 5
Skul: The Hero Slayer,2020,SouthPaw Games,PlayStation 4 / Xbox One / PC (Microsoft Windows) / Mac / Linux / Nintendo Switch
NEO: The World Ends with You,2020,Square Enix,PlayStation 4 / PC (Microsoft Windows) / Nintendo Switch
Narita Boy,2020,Studio Koba,PC (Microsoft Windows) / Linux / Nintendo Switch / Mac / PlayStation 4 / Xbox One
The Dark Pictures Anthology: House of Ashes,2020,Supermassive Games,PC (Microsoft Windows) / Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One
Little Nightmares II,2020,Tarsier Studios,PC (Microsoft Windows) / PlayStation 5 / Xbox Series X|S / Google Stadia / Xbox One / PlayStation 4 / Nintendo Switch
Bravely Default II,2020,Team Asano,PC (Microsoft Windows) / Nintendo Switch
Pokémon Unite,2020,Tencent Games,Android / iOS / Nintendo Switch
NieR Replicant ver.1.22474487139...,2020,Toylogic,PlayStation 4 / PC (Microsoft Windows) / Xbox One
Back 4 Blood,2020,Turtle Rock Studios,Xbox Series X|S / PlayStation 5 / PlayStation 4 / Xbox One / PC (Microsoft Windows)
Scott Pilgrim vs. the World: The Game - Complete Edition,2020,Ubisoft Chengdu,PlayStation 4 / Xbox One / PlayStation 5 / Amazon Fire TV / Google Stadia / PC (Microsoft Windows) / Nintendo Switch / Xbox Series X|S
Far Cry 6,2020,Ubisoft Toronto,Google Stadia / PlayStation 4 / PlayStation 5 / Xbox Series X|S / Xbox One / PC (Microsoft Windows)
Rain on Your Parade,2020,Unbound Creations LLC,Xbox One / Nintendo Switch / Mac / Linux / PC (Microsoft Windows) / Xbox Series X|S
Last Stop,2020,Variable State,PC (Microsoft Windows) / PlayStation 4 / Nintendo Switch / Xbox One / PlayStation 5 / Xbox Series X|S
Knockout City,2020,Velan Studios,PlayStation 4 / PC (Microsoft Windows) / Xbox One / PlayStation 5 / Xbox Series X|S / Nintendo Switch
Serin Fate,2020,Vethergen,PC (Microsoft Windows)
Unpacking,2020,Witch Beam,Nintendo Switch / Linux / Mac / PC (Microsoft Windows) / Xbox One
Strangeland,2020,Wormwood Studios,Mac / PC (Microsoft Windows)
Dyson Sphere Program,2020,Youthcat Studio,PC (Microsoft Windows)
Disco Elysium: The Final Cut,2020,ZA/UM,PC (Microsoft Windows) / PlayStation 5 / Nintendo Switch / Xbox One / Xbox Series X|S / PlayStation 4 / Mac / Google Stadia
